train_idx,text,label,label_text
161,a couple of times a week it seems to cease access to the internet,0,negative
162,"whether you are a novice or an expert , its ease of use and functionality goes together",1,positive
163,the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry,1,positive
164,"it has lots of little cute features , my favorite being the games and the pim ( personal information manager i e organizer ) , and the radio !",1,positive
165,"my ipod freezes occasionally , which is especially annoying when you ' re in the middle of a game of brick",0,negative
166,the base was deeper and the highs were crisper,1,positive
167,the gprs web access is slow !,0,negative
168,they claim to respond in a 24 hour period yet it ' s been 2 weeks without a reply,0,negative
169,the daylight pictures are brilliant and the indoor shots are very good provided that your subject is no more than about 8 feet away,1,positive
170,this is a perfect blend to accomplish both tasks,1,positive
171,"the earbuds are great headphones as good as my ak studio 240 , well not as good but darn close",1,positive
172,"the transmission speed is also quite good , with pages loading very quickly",1,positive
173,now this router is not the cheapest on the market,0,negative
174,some features in the user interface,0,negative
175,"imagine my disappointment , though , when the zen micro proved able to play only the mega strongest fm signals in my area",0,negative
176,"however , the calls constantly drop in my area and i experience mega static , to the point where i ' d have to dial numbers 6 7 times to get a clear line",0,negative
177,the auto mode is good enough for most shots but the 4300 also boasts 12 versatile scene modes as well as a manual mode though i admit i have n ' t played with it too much on manual,1,positive
178,"i purchased this camera before it went on sale , and while i wouldn ' t have minded keeping the extra , it was definitely worth it",1,positive
179,it has many great features and very few bad ones,1,positive
180,7 ) chic look and good build the player comes in a compact form with a metal face plate,1,positive
181,b fast mediasource cd ripping takes about 40 seconds for a cd on my pentium 4 pc ( 2 4 hz with 1gb ram ) with 52x drive,1,positive
182,you can also assign special rings and graphics to special people when they call,1,positive
183,"i use this with a home theater system and it ' s amazing how it sounds , the picture clarity is unmatched !",1,positive
184,another good thing is that this camera seems to introduce much less noise in dark places than others i ' ve seen,1,positive
185,"i ' ve had this player for several months and it reads most discs , but it would not recognize several discs that were clean and read on other players ( from friends season 2 )",0,negative
186,the pictures are a little dark sometimes,0,negative
187,battery life is not long enough if and only if you take a lot of video clips and play it back on the camera a lot of times the camera battery gets a little bit warm too when you use it for a long time but it ' s normal,0,negative
188,"i mean , they ' re short !",0,negative
189,"also , not liking the gel case",0,negative
190,my fingers are kind of stubby so it took a while to learn how to hit a key without hitting the adjacent ones,0,negative
191,"decent battery on the average size , but the 40gb comes with a dock",1,positive
192,"i bought it for my trip to buns aries , and also used it at the iguassu falls , and could not have asked for more perfect performance !",1,positive
193,placement of the buttons and software user interface is near perfect,1,positive
194,they were easy to setup with plenty of power to hog through anything i have encountered,1,positive
195,"the sound quality is superb , much better than that of an ipod , in my opinion",1,positive
196,finally you will read a post somewhere that all codes are useless for the apex 2600,0,negative
197,among its weak points is the mmc slot location and a bit vague design,0,negative
198,the creative labs zen xtra has all the features the i pod has and if you get if from amazon your only going to pay 300 for this great player,1,positive
199,7 picture quality is excellent,1,positive
200,this camera is closest to perfect than any other diagram that is 4 5 megapixel,1,positive
201,after two weeks the picture kept freezing,0,negative
202,i have never had an odor problem !,1,positive
203,the total price with delivery ( free shipping ) was 135 !,1,positive
204,"they ' re pretty comfortable , stay in place and deliver a decent audio quality",1,positive
205,the view finder shows crystal clear pictures that will look even better when you get them to the computer,1,positive
206,"granted , i have only used this dvd player for about 2 hours setting it up for my mom for christmas , but that was long enough for me to find problems with this dvd player",0,negative
207,"for the price , i am considering purchasing a spare just to have as a backup",1,positive
208,linksys is more costlier than others and is a home consumer division of disco,0,negative
209,"just a little overview , powershot g3 is the flagship of canon ' s powershot series and its an slr like camera , its 4 megapixel and ( almost ) full manual control gives the pictures a touch of brilliance",1,positive
210,"also , the nomad ' s 14 hours of battery life versus 8 is handy",1,positive
211,"the disadvantages of this camera is it has been having some trouble with its autofocus on a few occasional pictures , especially quick candid shots where you start up and shot as quick as you can",0,negative
212,"buttons size is ok for me , my wife , but not my granny",0,negative
213,on the t mobile service i was able to take pics as we drove across i 70 and email them to family friends once we reached a t mobile tone ( usually a major city ),1,positive
214,"there isn ' t much features on the ipod at all , except games",0,negative
215,i am very pleased with it so far,1,positive
216,"the unit itself its well structured , with just the buttons you need and none you do n ' t",1,positive
217,"without any tweaking at all , if the exposure is accurate , the colors are as realistic as ive ever seen produced by film , and this is a raw image !",1,positive
218,those used to 35mm cameras will find the g3 very comfortable and friendly to use,1,positive
219,you ' ll be changing track information a lot because the cd database information utilized by the software is mediocre at best,0,negative
220,ive had this phone for a year now and its the best phone i have owned,1,positive
221,"in conclusion , i gave the ipod a 4 5 because anything this expensive should would work just about flawlessly",1,positive
222,i ' ve searched the program and their online tech support ( worthless ) and have found no solutions,0,negative
223,large easy readable screen,1,positive
224,this is the best purchase i ' ve made in a very long time,1,positive
225,"the player looked good right out of the box , offering lots of features and good styling",1,positive
226,the look feel i have the black one and the contrasting neon blue on the buttons add a very nice ambiance,1,positive
227,"it ' s easy to use ( just a flip of the lid , and the diaper is gone ! )",1,positive
228,the pictures are fabulous and their is a ( short ) learning curve to it there are tons of features i have n ' t even gotten to,1,positive
229,"but since it ' s so small , it isn ' t a big deal to bring it with me",1,positive
230,"however , this ultracompact allows the photographer to personalize his or her shooting preferences through a variety of preset and user definable modes",1,positive
231,the micro seemed like an ipod for less,1,positive
232,"my biggest concern is that i have found nokia phones lower quality construction to lead to lower prices , but they also don ' t last as long",0,negative
233,having the digic ii chip helps a lot,1,positive
234,very small,1,positive
235,11 ) minimal pause between songs less than that on other devices good achievement for a hard drive based player,1,positive
236,the zen was an impressive purchase and i would highly recommend it to anyone using napster,1,positive
237,9 3x built in optical zoom is a lot for this price range,1,positive
238,the hard case they give with it must work well,1,positive
239,this has so many capabilities that you ' ll always have room for new technologies as they evolve,1,positive
240,unfortunately i was wrong,0,negative
241,"other than this , i am very pleased with the router and would buy it again",1,positive
242,"the only thing i did experience was a problem of the player freezing while playing , which i was able to clear by opening it up and blowing it out with canned air",0,negative
243,the high resolution screen is easy to read and has a backlight,1,positive
244,deficiencies with zennx are easily overcome with 3rd party earphones ( 20 ) and software ( 25 ),0,negative
245,"the possibilities with auto , manual , and the very helpful scene mode , which offers 11 optimized situational settings like portrait , landscape , beach snow , sunset etc , are endless",1,positive
246,"actually , the creative zen micro solves all that",1,positive
247,"when i went to put in the new sd card i looked at the lcd screen cracked and the fluid gave a jackson pollock type appearance to the screen , black and blue and purple blotches and streaks useless",0,negative
248,"overall , a very disappointing product",0,negative
249,the player ' s software is very easy to use and very good,1,positive
250,it all sounds great too,1,positive
251,"its the easiest thing to setup i thought , and i am only 16 so with all that said , buy the router ! ! ! !",1,positive
252,"right now , the creative software transfers subscription music files very slowly",0,negative
253,nokias have always had good sound quality and this is no exception,1,positive
254,"second might be a problem i might have with my pc but not too sure , when the player is connected on the usb and i start playing on it and also using the windows explorer , it sometimes pauses by itself and tries to synchronize with the pc during play , which is a bit irritating",0,negative
255,"in short , the nokia 6600 is an evolution but not a revolution",1,positive
256,but now that she is eating solids the odor is escaping out and we are constantly using freshener,0,negative
257,"while i like the performance of the phone in every regard , i would buy another one solely upon the apparent indestructibility of it",1,positive
258,7 360 panoramic pictures are a very big deal,1,positive
259,after scouring the various boards i find this is an arbitrary and pervasive problem,0,negative
260,the scroll wheel is finicky it works most of the time but there is a learning curve for pressing it just right new users say they have 50 75 success rate some find it so frustrating that they just return the device,0,negative
261,i ' m amazed at the photo quality prints are indistinguishable from 35mm prints,1,positive
262,"the 6610 excels as a cell phone , thank god",1,positive
263,i ' ve owned this router for over 8 years and am somewhat satisfied with it,1,positive
264,2 ) storage capacity,1,positive
265,"the rate plans are also very good , at least for me",1,positive
266,long reboots due to norton taking forever to boot,0,negative
267,the compact digital camera is especially useful if you have little children around and you can always take the camera with you and take many pictures of them,1,positive
268,"likewise , i ' ve heard norton 2004 professional version is fine too",1,positive
269,"i love that you can create custom playlists , and organize music in so many different ways",1,positive
270,"so far it has been very durable ( other than the little pads on the earbuds ) , but those aren ' t really necessary as i find them comfortable on their own",1,positive
271,i like the auto fit feature you can stretch wide screen dvd ' s to normal,1,positive
272,"i ' m sure you can read the specs above to see everything it does , but for me the best thing is that i can easily check my email , movie times , news , or any website with this phone",1,positive
273,"sometimes when you press buttons , the menu appears after a second or two",0,negative
274,"when you learn how to change some settings , you can make the quality even better",1,positive
275,"fortunately , the g3 has a hot shoe that can take an external flash , and fortunately for me , i already owned a one of the highest quality external flashes that money can buy the met 60 ct 4",1,positive
276,there are better cameras but none anywhere near as light and compact,1,positive
277,"the two limitations i knew i would have to deal with are the very long lag time before it focus locks ( even in bright light ) , and the unsatisfactory light quality of the built in flash",0,negative
278,"i have read the installation instructions for both nis 2004 and navy 2004 prior to installation , but still ended up with the same result junk software",0,negative
279,"i ' d give it 4 5 stars if possible , but since 5 stars would be misleading , i give it 4 stars",1,positive
280,the nomad zen could use a little sturdier construction like the archos jukeboxes or some kind of shock resistant case,0,negative
281,"this phone won me over , and a big seller was the size it fits nicely into any pocket without falling out",1,positive
282,installation was as near automatic as can be,1,positive
283,it is versatile and seems to be one of the best,1,positive
284,however after purchasing a 20 gb ipod it 's clear to see the superiority,1,positive
285,retraction said mine had silver plate it does have display,1,positive
286,another good feature is that you can charge the battery by just connecting the player to your computer using the usb cable,1,positive
287,"i use it for ripping cds , which it does a pretty good job of",1,positive
288,"having done all this , i was quite pleased to see that all corners i needed were decently covered by the signal",1,positive
289,the diaper champ is the best !,1,positive
290,not so nice things a bit too much weight and power for easy handheld use spindle lock makes for awkward bit changing ( outside of a table ) the 1 4 chuck sleeve requires much tightening to keep bits from slipping,0,negative
291,i am giving a zero star to symantec for this version !,0,negative
292,even during the firmware updates my roommates did not loose wireless connectivity,1,positive
293,"i like some local stations , stern , and npr , and so the radio seemed like a great option",1,positive
294,"the height is a more convenient reach than others , where you have to hunch over",1,positive
295,"i sent it back , as i think that the speed control is either poorly designed or defective",0,negative
296,there are instructions to encrypt your personal wireless network so no one else can end up hogging stealing your bandwidth,1,positive
297,") one outstanding positive feature is the battery it holds a charge for a long time , longer than most other similar products and the user can replace it easily or take another along as a backup",1,positive
298,"the cd ripping to mp3 is so easy , and you can even rip the cd directly to the mp3 player , so it wo n ' t take up space on your pc hard drive",1,positive
299,"in the hands of someone who does n ' t , it will yield good results on idiot program auto mode",1,positive
300,removable and cheap battery a li battery usually works properly for 1 3 years,1,positive
301,also included in the games section is the great music trivia option which tests your skill at being able to quickly place your own songs,1,positive
302,"second , the automatic sync on creative lets you review the songs before it begins its transfer",1,positive
303,"up , down , left , and right would have given me better control",0,negative
304,"along the way we compared it to my wife ' s t720i and the 6600 was superior in terms of battery life , connectivity bars and features",1,positive
305,"this one has a color display , which i like a lot , being very visual",1,positive
306,nice little phone light compact,1,positive
307,"also , the battery ' s aren ' t user replaceable",0,negative
308,there seem to be fewer collisions and dropped packets as i read from the router logs than with my old dlink router,1,positive
309,i 'm extremely glad i bought this camera,1,positive
310,b ) the screen is hard to read the cover hides it an already annoying poorly lit display,0,negative
311,"i know this unit will have problems in the future and the 40 for the 2 year no questions asked replacement warranty will be worth it , since creative will only warrant it for 90 days which in itself is totally ridiculous !",0,negative
312,creative labs customer support website is useless,0,negative
313,it is far better than just a trash can or the diaper genie and it ' s fairly inexpensive as baby products go !,1,positive
314,"flash as with all built in flashes in small cameras , you get over illuminated main subjects with depth being lost",0,negative
315,"you even can not navigate by genre artist album since under genre you get just all tracks in that genre , no other division",0,negative
316,"it ' s being used daily and i have had none of the problems reported by other reviewers ( headphone jack , player locking up , etc )",1,positive
317,"if anyone is thinking of getting an ipod mini , forget it and go with this player",1,positive
318,"it ' s not the heaviest around ( i think porter cable has that distinction ) , but i found its combination of weight and power really too much to allow precise handheld operation",0,negative
319,even viewed cds full of jogs,1,positive
320,"lots of flaws , but exceptional sound quality , hd size , and price make it a good buy",1,positive
321,mediasource did not recognize my tags !,0,negative
322,the only problem that i have found with the internet service is that it does not access mils ( real estate broker software ) very well at all,0,negative
323,"the software , which comes with player is not good at all",0,negative
324,"i actually purchased two phones recently ( this one at the new blackberry phone ) , and this one is far superior ( imho )",1,positive
325,the software you get with this camera is perfect,1,positive
326,"its far more difficult to select songs and has no easy to use on the fly playlist creation such as the new ipod not to mention it does n ' t since with contact lists , phone numbers , address books , etc like the ipod ( which eliminated my need for any kind of palm device )",0,negative
327,this is a well made and powerful tool,1,positive
328,i could hardly use it without a recharge in 2 days !,0,negative
329,it plays just about any format ( check before you buy if it plays yours ),1,positive
330,"our norton internet av 2004 was terrible right from the get go , so i ' d think that if steelworks is ok now , it should remain ok",0,negative
331,"also , you have to use it with itunes or they ' ll sue , dammit ! but itunes is about as good as anything",1,positive
332,"but if you want a great deal and a great mp3 player , get the nomad",1,positive
333,"well , within 45 days the video output quit working ( both rca optic )",0,negative
334,not plug play relies on id3 no fm or recording,0,negative
335,the earbud headphones are really nice,1,positive
336,"battery compared to the other players on the market , the ipod has one of the worst batteries around",0,negative
337,the price compared to the ipod is great,1,positive
338,good quality video,1,positive
339,"3 ) it does not work automatically like a hard drive when you connect it to your computer , like some players",0,negative
340,after about an hour it starts skipping like the dvd 's are dirty,0,negative
341,the image quality is excellent,1,positive
342,it was n ' t as easy to fast forward or pause a song than it was with a regular walkman,0,negative
343,the dvd player does not work properly,0,negative
344,the software is great,1,positive
345,"could be better to be a perfect camera ( and some competitors do some of this better ) purple fringing , details in high light area , noise over iso100 , red eyes , ( few ) processing artefact 's , ( few ) loss of some details especially of the hairs of peoples in low light , automatic autofocus , whizzing while video playback , better video compression ( smaller viedo files ) , more manual controls , longer lasting battery , indicator for battery , better protection of the lcd , less weight",1,positive
346,"the hitachi is made in malaya , and looked cheap compared with the makita , which is made in the usa",1,positive
347,"software the software that comes along with it is not very intuitive but once you are used to it , it does the job well",0,negative
348,"this phone has the best battery , it lasts longer then my old 3210",1,positive
349,"the backlight on the phone goes off way too quickly ( dangerous when you ' re driving at night ) , and there ' s no way to change this",0,negative
350,"the 4300 is a very durable , compact package , and i find nikon to be a brand that i can trust",1,positive
351,"if there were any complaints i have , they are marginal , but one is apples ' proprietary set up for music files , their incompatibility with other music services ( i e napster ) is down right wrong",0,negative
352,the screen ' s large and easily read,1,positive
353,norton online support does not even acknowledge this problem nor does the computer company that preloaded it on our new computer,0,negative
354,"built like a tank , yet nimble enough to be comfortably used with the leigh dovetail jig",1,positive
355,"the canon software for raw images does not present you with a raw image at all , but the raw image after it has been processed by all the image affecting settings in the camera",0,negative
356,"comes with a 16 mb compact flash and one rechargable battery the charging unit , included , is fast and small",1,positive
357,"the size is tiny , which i love",1,positive
358,"however , there is a more detailed pdf manual on the cd ( and online ) that should answer any questions about the operational features of the zen micro",1,positive
359,really happy with this little camera,1,positive
360,first let me say that it is much smaller than it looks on the web and it also looks better,1,positive
361,apex has still not responded to my email describing the problem after almost a week and their customer service line is always busy,0,negative
362,"in addition , it only seems to work if you ' re about five feet away from the player , although that may have been just the batteries that came with it",0,negative
363,"after getting one for christmas from amazon , i ' m now a believer the digital elph is truly the world ' s smallest digital camera that shoots great pictures",1,positive
364,"durability not good first problem , if you haven ' t seen the news recently , the ipods are being recalled for battery problems and not lasting the advertised 18 months",0,negative
365,"it is small , unlike my canon slr , so it easily fits in my pocket",1,positive
366,"so , why the small digital elph , rather than one of the other cameras with better resolution or picture quality ? size 2",1,positive
367,i gave the zen 5 stars because it ' s excellent for the class that it is in and it ' s not really appropriate to rate it based on players in a different class,1,positive
368,the wizard is particularly sinister,0,negative
369,this phone is one of the few phones that have an fm radio tuner built in,1,positive
370,in minutes i was easily navigating through the menus,1,positive
371,this is the best dvd player i ' ve purchased,1,positive
372,we have had this product for over a month and yesterday it stopped working,0,negative
373,"2 ) the body construction buttons , casing , etc , are too plastic",0,negative
374,"if you ' re looking for a 3hp plunge router , the hitachi m12v is your best bet to stretch your equipment budget",1,positive
375,"it played only one out of three dvd ' s without problems , the other two being afflicted by a number of glitches",0,negative
376,"i have transferred in about 2 , 400 tracks so far very easy to use both the ipod and itunes",1,positive
377,creating and modifying playlists is easy and clean,1,positive
378,"i bought this camera two days ago , and i ' m very pleased to say that it has been worth the money",1,positive
379,"with my sennheiser 497 headphones , the volume is loud enough at 12 ( max is 20 )",1,positive
380,"the case is strong and stylish , but unfortunately lacks a window ( now a big deal )",0,negative
381,"since i received the phone , i spent countless hours on the phone with customer service reps who promised t zones would work in 24 hours",0,negative
382,what disappointed me is the fact that it does not seem to read certain dvds,0,negative
